Indmeta_text,﻿IndMetaID
Total populations (millions),56
"Population, female (% of total)",57
Urban Population (% of total),58
Rural Population (% of total),59
Total Households,60
Annual no. of births (thousands),61
Annual population growth rate (%),62
Total fertility rate (born/woman),63
"Birth rate, crude (births/1000 population)",64
"Mortality rate, neonatal (per 1,000 live births)",65
"Mortality rate, infant (per 1,000 live births)",66
"Mortality rate, < 5 years (per 1,000)",67
"Mortality rate, adult, female (per 1,000 female adults)",68
"Mortality rate, adult, male (per 1,000 male adults)",69
"Life expectancy at birth, female (years)",70
"Life expectancy at birth, male (years)",71
"Survival to age 65, female (% of cohort)",72
"Survival to age 65, male (% of cohort)",73
Population aged 0-14 (% of total),74
Population aged 15-64 (% of total),75
Population aged 65 and above (% of total),76
"Prediction, population aged 0-4 (% of total)",77
"Prediction, population aged 5-14 (% of total)",78
"Prediction, population aged 15-24 (% of total)",79
"Prediction, population aged 60 or over (% of total)",80
"Prediction, population aged 65 or over (% of total)",81
"Prediction, population aged 80 or over (% of total)",82
Birth (obstetric and new-born) complications expected per day (estimated),83
Antenatal care coverage (at least one visit) (%),84
Antenatal care coverage  at least four visits (%),85
Births attended by skilled health personnel (years) (% of total),86
"Gynaecologists and obstetricians per 100,000 females",87
Birth by caesarean section (%),88
Lifetime risk of maternal death (1 in: rate varies by country),89
"Mean systolic blood pressure (mm Hg), male",90
"Mean systolic blood pressure (mm Hg), female",91
Mean total Cholesterol male (mmol/L),92
Mean total Cholesterol female (mmol/L),93
Mean fasting blood glucose (mmol/L) male,94
Mean fasting blood glucose (mmol/L) female,95
"Death rates of malnutrition, per 100,000 population",96
"Death rates of anaemia,  per 100,000 population",97
"Death rates of diabetes mellitus,  per 100,000 population",98
"Death rates of hypertensive diseases, per 100,000 population",99
Risk of premature death from target NCDs (%),100
"Death rates of total malignant neoplasms, per 100,000 population",101
"Death rates of malignant neoplasm of stomach, per 100,000 population, male",102
"Death rates of malignant neoplasm of stomach, per 100,000 population, female",103
"Health expenditure, total (% of GDP)",104
"Health expenditure, public (% of GDP)",105
"Health expenditure, private (% of GDP)",106
"Hospital beds (per 10,000 people)",107
"Physicians (per 10,000 people)",108
"Nurses and midwives (per 10,000 people)",109
"Community health workers (per 1,000 people)",110
Improved sanitation facilities (% population with access),111
Improved sanitation facilities (% rural population with access),112
Improved sanitation facilities (% urban population with access),113
Improved water source (% of population with access),114
"Improved water source, urban (% of urban population with access)",115
"Improved water source, rural (% of rural population with access)",116
Acute respiratory infection treatment (% of children < 5 years taken to a health provider),117
Children with fever receiving antimalarial drugs (% of children < 5 years with fever),118
Diarrhea treatment (% of children < 5 years receiving oral rehydration and continued feeding),119
"Immunization, DPT (% of total children aged 12-23 months)",120
"Immunization, measles (% of total children aged 12-23 months)",121
"Smoking prevalence, females (% of adults)",122
"Smoking prevalence, males (% of adults)",123
"Accumulated costs of Heart disease, stroke and diabetes on the economy (billions $)",124
"Yearly costs of Heart disease, stroke and diabetes on the economy (billions constant 1998 international $)",125
Mean diabetes related expenditure per person with diabetes (USD),126
"Age-standardised years of life lost rate due to premature mortality (per 100,000)",127
"Age-standardised years lived with disability (per 100,000)",128
Health-adjusted life expectancy at birth (years),129
GDP in billions (PPP purchasing power parity),130
Real GDP growth (%),131
GDP per capita ($),132
Gini index,133
Income group F <2700 PPP dollars (%),134
Income group E 2700-7599 PPP dollars (%),135
Income group D 7500-13999 PPP dollars (%),136
Income group C 14000-21999 PPP dollars (%),137
Income group B 22000-29999 PPP dollars (%),138
Income group A over 30000 PPP dollars (%),139
Adult literacy rate (%),140
Internet users (per 100 people),141
Adults aged ≥ 15 years who are overweight (%),142
Adults aged ≥ 15 years who are obese (%),143
Adults males aged ≥ 15 years who are overweight (%),144
Adults males aged ≥ 15 years who are obese (%),145
Adults females aged ≥ 15 years who are overweight (%),146
Adults females aged ≥ 15 years who are obese (%),147
Adults aged ≥ 20 years who are overweight (%),148
Adults aged ≥ 20 years who are obese (%),149
Adults males aged ≥ 20 years who are overweight (%),150
Adults males aged ≥ 20 years who are obese (%),151
Adults females aged ≥ 20 years who are overweight (%),152
Adults females aged ≥ 20 years who are obese (%),153
Insufficiently active male (%),154
Insufficiently active female (%),155
Insufficiently active both sexes (%),156
Children > 5 who are overweight (% including obesity),157
Boys aged > 5 years who are overweight (% including obesity),158
Boys aged > 5 years who are obese (%),159
Girls aged > 5 years who are overweight (% including obesity),160
Girls aged > 5 years who are obese (%),161
Children < 5 years who are overweight (%),162
Children < 5  male who are overweight (%),163
Children < 5  female who are overweight (%),164
Children  > 5 years achieving the physical activity guidelines (%),165
"Boys aged 11 years had at least one hour of moderate to vigorous physical activity per day (%), Europe",166
"Girls aged 11 years had at least one hour of moderate to vigorous physical activity per day (%), Europe",167
"Boys aged 13 years had at least one hour of moderate to vigorous physical activity per day (%), Europe",168
"Girls aged 13 years had at least one hour of moderate to vigorous physical activity per day (%), Europe",169
"Boys aged 15 years had at least one hour of moderate to vigorous physical activity per day (%), Europe",170
"Girls aged 15 years had at least one hour of moderate to vigorous physical activity per day (%), Europe",171
"Boys aged 11 years watch television for two or more hours per day on weekdays (%), Europe",172
"Girls aged 11 years watch television for two or more hours per day on weekdays (%), Europe",173
"Boys aged 13 years watch television for two or more hours per day on weekdays (%), Europe",174
"Girls aged 13 years watch television for two or more hours per day on weekdays (%), Europe",175
"Boys aged 15 years watch television for two or more hours per day on weekdays (%), Europe",176
"Girls aged 15 years watch television for two or more hours per day on weekdays (%), Europe",177
Food supply (Kcal/capita/day),178
Protein supply (g/capita/day),179
Percentage of total energy available from protein,180
Fat supply (g/capita/day),181
Percentage of total energy available from fat,182
"Frequency of vegetable consumption, twice or more a day (%), male, adults, Europe",183
"Frequency of vegetable consumption, twice or more a day (%), female, adults, Europe",184
"Frequency of vegetable consumption, once a day (%), male, adults, Europe",185
"Frequency of vegetable consumption, once a day (%), female, adults, Europe",186
"Frequency of vegetable consumption, less than once a day but at least 4 times a week (%), male, adults, Europe",187
"Frequency of vegetable consumption, less than once a day but at least 4 times a week (%), female, adults, Europe",188
"Frequency of vegetable consumption, less than 4 times a week but at least once a week (%), male, adults, Europe",189
"Frequency of vegetable consumption, less than 4 times a week but at least once a week (%), female, adults, Europe",190
"Frequency of vegetable consumption, less than once a week (%), male, adults, Europe",191
"Frequency of vegetable consumption, less than once a week (%), female, adults, Europe",192
"Frequency of vegetable consumption, never (%), male, adults, Europe",193
"Frequency of vegetable consumption, never (%), female, adults, Europe",194
"Frequency of fruit consumption, twice or more a day (%), male, adults, Europe",195
"Frequency of fruit consumption, twice or more a day (%), female, adults, Europe",196
"Frequency of fruit consumption, once a day (%), male, adults, Europe",197
"Frequency of fruit consumption, once a day (%), female, adults, Europe",198
"Frequency of fruit consumption, less than once a day but at least 4 times a week (%), male, adults, Europe",199
"Frequency of fruit consumption, less than once a day but at least 4 times a week (%), female, adults, Europe",200
"Frequency of fruit consumption, less than 4 times a week but at least once a week (%), male, adults, Europe",201
"Frequency of fruit consumption, less than 4 times a week but at least once a week (%), female, adults, Europe",202
"Frequency of fruit consumption, less than once a week (%), male, adults, Europe",203
"Frequency of fruit consumption, less than once a week (%), female, adults, Europe",204
"Frequency of fruit consumption, never (%), male, adults, Europe",205
"Frequency of fruit consumption, never (%), female, adults, Europe",206
"Vegetable consumption, quantity (g per person per day)",207
"Fruit consumption, quantity (g per person per day)",208
"Daily vegetable  consumption (%), boys aged 11 years, Europe",209
"Daily vegetable  consumption (%), girls aged 11 years, Europe",210
"Daily vegetable  consumption (%), boys aged 13 years, Europe",211
"Daily vegetable  consumption (%), girls aged 13 years, Europe",212
"Daily vegetable  consumption (%),  boys aged 15 years, Europe",213
"Daily vegetable  consumption (%), girls aged 15 years, Europe",214
"Daily fruit  consumption (%), boys aged 11 years, Europe",215
"Daily fruit  consumption (%), girls aged 11 years, Europe",216
"Daily fruit  consumption (%), boys aged 13 years, Europe",217
"Daily fruit  consumption (%), girls aged 13 years, Europe",218
"Daily fruit  consumption (%), boys aged 15 years, Europe",219
"Daily fruit  consumption (%), girls aged 15 years, Europe",220
% of infants who are exclusively breastfed (Early initiation of breastfeeding),221
% of children aged < 3 years who were ever breastfed,222
% of infants who are exclusively breastfed for 3 months,223
% of infants who are exclusively breastfed for 4 months,224
% of infants who are exclusively breastfed < 6 months,225
Infants who are breastfed for 12 months (%),226
Median duration of exclusively breastfeeding (months) in children < 3 years: total,235
Median duration of full breastfeeding (months) in children < 3 years: total,241
Foods received by infants aged 6-7 months: only breast milk (%),251
Foods received by infants aged 12-13 months: only breast milk (%),254
Foods received by infants aged 18-23 months : only breast milk (%),257
Foods received by infants aged 6-7 months: infant formula (%),264
Foods received by infants aged 12-13 months: infant formula (%),267
Foods received by infants aged 18-23 months: infant formula (%),270
Foods received by infants aged 6-7 months: other milk (%),277
Foods received by infants aged 12-13 months: other milk (%),280
Foods received by infants aged 18-23 months: other milk (%),283
Foods received by infants aged 6-7 months: other liquids (%),290
Foods received by infants aged 12-13 months: other liquids (%),293
Foods received by infants aged 18-23 months: other liquids (%),296
Foods received by infants aged 24-29 months: other liquids (%),297
"Foods received by infants aged 6-7 months: meat, fish, eggs (%)",303
"Foods received by infants aged 12-13 months: meat, fish, eggs (%)",306
"Foods received by infants aged 18-23 months: meat, fish, eggs (%)",309
"Foods received by infants aged 24-29 months: meat, fish, eggs (%)",310
"Foods received by infants aged 6-7 months: grain, flour, cereal (%)",316
"Foods received by infants aged 12-13 months: grain, flour, cereal (%)",319
"Foods received by infants aged 18-23 months: grain, flour, cereal (%)",322
"Foods received by infants aged 24-29 months: grain, flour, cereal (%)",323
"Foods received by infants aged 6-7 months: tubers, plantains (%)",329
"Foods received by infants aged 12-13 months: tubers, plantains (%)",332
"Foods received by infants aged 18-23 months: tubers, plantains (%)",335
"Foods received by infants aged 24-29 months: tubers, plantains (%)",336
Low birth weight new-borns (%),338
"Malnutrition prevalence, weight for age (% of children < 5 years)",339
"Malnutrition prevalence, height for age (% of children < 5 years)",340
"Mild anemia (Hb 100-109 g/l)  in children aged < 5 years (%), total",342
Mild anemia (Hb 100-109 g/l)  in children aged 6-9 months (%),343
Mild anemia (Hb 100-109 g/l)  in children aged 10-11 months (%),344
Mild anemia (Hb 100-109 g/l)  in children aged 12-23 months (%),345
Mild anemia (Hb 100-109 g/l)  in children aged 24-35 months (%),346
Mild anemia (Hb 100-109 g/l)  in children aged 36-47 months (%),347
Mild anemia (Hb 100-109 g/l)  in children aged 48-59 months,348
"Moderate anemia (Hb 70-99 g/l) in children aged < 5 years (%), total",349
Moderate anemia (Hb 70-99 g/l) in children aged 6-9 months (%),350
Moderate anemia (Hb 70-99 g/l) in children aged 10-11 months (%),351
Moderate anemia (Hb 70-99 g/l) in children aged 12-23 months (%),352
Moderate anemia (Hb 70-99 g/l) in children aged 24-35 months (%),353
Moderate anemia (Hb 70-99 g/l) in children aged 36-47 months (%),354
Moderate anemia (Hb 70-99 g/l) in children aged 48-59 months (%),355
"Severe anemia (Hb below 70 g/l) in children aged < 5 years (%), total",356
Severe anemia (Hb below 70 g/l) in children aged 6-9 months (%),357
Severe anemia (Hb below 70 g/l) in children aged 10-11 months (%),358
Severe anemia (Hb below 70 g/l) in children aged 12-23 months (%),359
Severe anemia (Hb below 70 g/l) in children aged 24-35 months (%),360
Severe anemia (Hb below 70 g/l) in children aged 36-47 months (%),361
Severe anemia (Hb below 70 g/l) in children aged 48-59 months (%),362
Iodine deficiency in children 6-18 years old (%)PJ,364
Proportion of the population with night blindness in preschool age children (%),386
Vitamin A deficiency in preschool age children (%),388
Vitamin A deficiency in pregnant women (%),389
Anemia in pregnant women (%),390
Proportion of pregnant women with night blindness (%),391
Vitamin A supplementation coverage rate (% of children aged 6-59 months),392
Proportion of households consuming iodized salt (%),393
Children aged < 5 years who have acute PEM  wasting (%),394
Children aged  < 5 years whose weight for age z score below -3 SD (%): total,395
Children aged < 5 years who have chronic PEM  stunting (%),409
Children aged < 5 years whose height for age z score below -3 SD (%): total,410
Children aged < 5 years with severe acute malnutrition (%): total,424
Children aged > 5 years with asthma symptoms (%),438
Children aged > 5 years with eczema/atopic dermatitis (%),439
Children aged > 5 years with allergic rhino conjunctivitis symptoms (%),440
Children aged > 5 years with cow's milk allergy (%),441
Children aged > 5 years with lactose intolerance (%),442
Prevalence of celiac disease (%) in children,443
Prevalence of diabetes type 2 in children aged > 5 years (%),444
"Incidence estimates of type 1 diabetes in children aged 0-14 years, per 100,000 population",445
"Death rate for malnutrition in infants below 1 year, per 100,000",446
"Death rate for malnutrition in children aged 1-4 years, per 100,000",447
"Death rate for anaemia in children aged 0-4 years, per 100,000",448
"Death rate for diabetes mellitus in children aged 0-4 years, per 100,000",449
Deaths of children < 5 years caused by prematurity (%),450
Death rate for other nutritional deficiencies in children aged < 5 years (100'000 live births),451
Deaths among children < 5 years caused by diarrhea (%),452
Deaths of children < 5 years caused by Pneumonia (%),453
Deaths of children < 5 years caused by Measles (%),454
Deaths of children < 5 years caused by Malaria (%),455
Deaths of children < 5 years caused by congenital abnormalities (%),456
Death rate for asthma in children aged < 5 years (100'000 live births),457
Birth defects (cases/1'000 live births),458
Prevalence of infants born with metabolic disorders (cases/birth),459
Antenatal care at least one visit by residence (%): urban,460
Antenatal care at least one visit by residence (%): rural,461
Antenatal care at least one visit by Wealth Index Quintiles (%): lowest,462
Antenatal care at least one visit by Wealth Index Quintiles (%): second,463
Antenatal care at least one visit by Wealth Index Quintiles (%): middle,464
Antenatal care at least one visit by Wealth Index Quintiles (%): fourth,465
Antenatal care at least one visit by Wealth Index Quintiles (%): highest,466
"Skilled birth attendance (%), By urban wealth quintile Q1",469
"Skilled birth attendance (%), By urban wealth quintile Q2",470
"Skilled birth attendance (%), By urban wealth quintile Q3",471
"Skilled birth attendance (%), By urban wealth quintile Q4",472
"Skilled birth attendance (%), By urban wealth quintile Q5",473
"Births attended by skilled health personnel (%), lowest educational level of mother",474
"Births attended by skilled health personnel (%), highest educational level of mother",475
"Births attended by skilled health personnel (%), ratio highest-lowest educational level of mother",476
"Births attended by skilled health personnel (%), difference between highest-lowest educational level of mother",477
Number of Obstetricians,478
Number of general practitioners with some midwifery competencies,479
Number of other health professionals with some midwifery competencies,480
Number of community health workers with some midwifery training,481
Estimated number of workforce shortage to attain 95% skilled birth attendance by 2015,482
Births in health facilities (%): total,483
Births in health facilities (%): household wealth index lowest,484
Births in health facilities (%): household wealth index second,485
Births in health facilities (%): household wealth index middle,486
Births in health facilities (%): household wealth index fourth,487
Births in health facilities (%): household wealth index highest,488
Total number of facilities providing essential childbirth care,489
"Facilities per 1,000 births",490
Percentage of traditional birth attendants: total,491
Percentage of traditional birth attendants: household wealth index lowest,492
Percentage of traditional birth attendants: household wealth index second,493
Percentage of traditional birth attendants: household wealth index middle,494
Percentage of traditional birth attendants: household wealth index fourth,495
Percentage of traditional birth attendants: household wealth index highest,496
"Raised blood pressure (SBP≥140 OR DBP≥90) (%), male",497
"Raised blood pressure (SBP≥140 OR DBP≥90) (%), female",498
"Raised blood pressure (SBP≥140 OR DBP≥90) (%), both sexes",499
"Raised blood pressure (SBP≥140 OR DBP≥90 OR on medication) (%), male",500
"Raised blood pressure (SBP≥140 OR DBP≥90 OR on medication) (%), female",501
"Raised blood pressure (SBP≥140 OR DBP≥90 OR on medication) (%), both sexes",502
Salt consumption per capita per day (g),503
"Raised total cholesterol (≥ 5.0 mmol/L) (%), male",504
"Raised total cholesterol (≥ 5.0 mmol/L) (%), female",505
"Raised total cholesterol (≥ 5.0 mmol/L) (%), both sexes",506
"Raised total cholesterol (≥ 6.2 mmol/L) (%), male",507
"Raised total cholesterol (≥ 6.2 mmol/L) (%), female",508
"Raised total cholesterol (≥ 6.2 mmol/L) (%), both sexes",509
"Raised fasting blood glucose (≥ 7.0 mmol/L or on medication) (%), male",510
"Raised fasting blood glucose (≥ 7.0 mmol/L or on medication) (%), female",511
"Raised fasting blood glucose (≥ 7.0 mmol/L or on medication) (%), both sexes",512
Mean age (yrs.) of pain sufferers,513
Mean duration of pain (yrs.),514
Prevalence of chronic pain (>18 yrs.) (%),515
Most common causes of pain cited by pain sufferers (%): traumatic injuries,516
Most common causes of pain cited by pain sufferers (%): Herniated/deteriorating diseases,517
Most common causes of pain cited by pain sufferers (%): Arthritis/osteoarthritis,518
Mean number of days lost during the last 6 mo. of full or part time employment,519
Chronic pain who have seen a pain management specialist (%),520
Evaluation of pain (%),521
"Number of people with diabetes (20-79) in 1000s, men",522
"Number of people with diabetes (20-79) in 1000s, women",523
"Number of people with diabetes (20-79) in 1000s, rural setting",524
"Number of people with diabetes (20-79) in 1000s, urban setting",525
Number of people with diabetes (20-39) in 1000s,526
Number of people with diabetes (40-59) in 1000s,527
Number of people with diabetes (60-79) in 1000s,528
